scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
target_left_outer_20m,5,False,"[20.582286834716797, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.582286834716797
target_left_outer_20m,6,False,"[20.58490753173828, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.58490753173828
target_left_outer_20m,7,True,"[20.586854934692383, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.586854934692383
target_left_outer_20m,8,False,"[20.587932586669922, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.587932586669922
target_left_outer_20m,9,False,"[20.588491439819336, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.588491439819336
target_left_outer_20m,10,False,"[20.588790893554688, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.588790893554688
target_left_outer_20m,11,False,"[20.588451385498047, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.588451385498047
target_left_outer_20m,12,False,"[20.587263107299805, 21.11804962158203, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 1]",True,20.587263107299805
target_left_inner_20m,1,True,"[-1.0, -1.0, 18.453359603881836, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.453359603881836
target_left_inner_20m,2,False,"[-1.0, -1.0, 18.45366096496582, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.45366096496582
target_left_inner_20m,3,False,"[-1.0, -1.0, 18.452777862548828, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.452777862548828
target_left_inner_20m,4,False,"[-1.0, -1.0, 18.450580596923828, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.450580596923828
target_left_inner_20m,5,False,"[-1.0, -1.0, 18.447996139526367, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.447996139526367
target_left_inner_20m,6,False,"[-1.0, -1.0, 18.445608139038086, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.445608139038086
target_left_inner_20m,7,True,"[-1.0, -1.0, 18.443702697753906, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.443702697753906
target_left_inner_20m,8,False,"[-1.0, -1.0, 18.442476272583008, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.442476272583008
target_left_inner_20m,9,False,"[-1.0, -1.0, 18.441858291625977, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.441858291625977
target_left_inner_20m,10,False,"[-1.0, -1.0, 18.441789627075195, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.441789627075195
target_left_inner_20m,11,False,"[-1.0, -1.0, 18.441848754882812, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.441848754882812
target_left_inner_20m,12,False,"[-1.0, -1.0, 18.44214630126953, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],True,18.44214630126953
target_center_20m,1,True,"[-1.0, -1.0, -1.0, -1.0, 17.821491241455078, -1.0, -1.0, -1.0, -1.0]",[4],True,17.821491241455078
target_center_20m,2,False,"[-1.0, -1.0, -1.0, -1.0, 17.821794509887695, -1.0, -1.0, -1.0, -1.0]",[4],True,17.821794509887695
target_center_20m,3,False,"[-1.0, -1.0, -1.0, -1.0, 17.822772979736328, -1.0, -1.0, -1.0, -1.0]",[4],True,17.822772979736328
target_center_20m,4,False,"[-1.0, -1.0, -1.0, -1.0, 17.82465362548828, -1.0, -1.0, -1.0, -1.0]",[4],True,17.82465362548828
target_center_20m,5,False,"[-1.0, -1.0, -1.0, -1.0, 17.826757431030273, -1.0, -1.0, -1.0, -1.0]",[4],True,17.826757431030273
target_center_20m,6,False,"[-1.0, -1.0, -1.0, -1.0, 17.82835578918457, -1.0, -1.0, -1.0, -1.0]",[4],True,17.82835578918457
target_center_20m,7,True,"[-1.0, -1.0, -1.0, -1.0, 17.829500198364258, -1.0, -1.0, -1.0, -1.0]",[4],True,17.829500198364258
target_center_20m,8,False,"[-1.0, -1.0, -1.0, -1.0, 17.830060958862305, -1.0, -1.0, -1.0, -1.0]",[4],True,17.830060958862305
