phase_name,run_kind,policy_step,observation_phase,sensor_id,sensor_role,sensor_footprint,source_model,reporter_usv_id,observer_world_location,observer_grid_cell,sample_index,sample_grid_cell,sample_world_xy,clue_value,noise_std,signal_without_noise,distance_to_registered_source_m,registered_source_world_location_for_audit,registered_source_not_exposed_to_planner,used_for_gp_observation,used_for_detection,directly_updates_found_mask,detected_mask_from_clue,found_mask_from_clue,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.9281311035156, -75.92684173583984, 0.16288281977176666]","[48, 2]",0,"[50, 1]","[-390.0, -100.0]",0.0,0.03,3.0414430570832554e-21,342.6966588690354,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.9281311035156, -75.92684173583984, 0.16288281977176666]","[48, 2]",1,"[45, 2]","[-380.0, -50.0]",0.03103883740776093,0.03,1.3733179839832245e-15,292.4739304621866,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.9281311035156, -75.92684173583984, 0.16288281977176666]","[48, 2]",2,"[52, 3]","[-370.0, -120.0]",0.04368729921552913,0.03,8.242791108289221e-23,355.3603804590489,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.9281311035156, -75.92684173583984, 0.16288281977176666]","[48, 2]",3,"[49, 1]","[-390.0, -90.0]",0.0,0.03,4.0121964574431186e-20,333.3481663366397,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.9281311035156, -75.92684173583984, 0.16288281977176666]","[48, 2]",4,"[46, 6]","[-340.0, -60.0]",0.0,0.03,2.726296196970794e-15,289.5876378576959,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-380.9281311035156, -75.92684173583984, 0.16288281977176666]","[48, 2]",5,"[47, 4]","[-360.0, -70.0]",0.052310125601255406,0.03,7.151326350662288e-17,304.5997373603595,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-314.8520812988281, 221.08135986328125, 0.17023037374019623]","[18, 9]",0,"[16, 12]","[-280.0, 240.0]",1.6606727292401273,0.03,1.6569588684836807,21.470910553583888,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-314.8520812988281, 221.08135986328125, 0.17023037374019623]","[18, 9]",1,"[14, 8]","[-320.0, 260.0]",0.4298764051174221,0.03,0.3874853221471888,63.411355449950754,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-314.8520812988281, 221.08135986328125, 0.17023037374019623]","[18, 9]",2,"[16, 7]","[-330.0, 240.0]",0.40309590908858034,0.03,0.39709191017350604,62.93647591023826,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,14,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-314.8520812988281, 221.08135986328125, 0.17023037374019623]","[18, 9]",3,"[22, 6]","[-340.0, 180.0]",0.22427954528773802,0.03,0.1362893242926281,81.12336284942828,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
