planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length_total,path_length_u0,path_length_u1,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,wait_count_u0,wait_count_u1,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
adaptive,random_walk,open_water,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,43,43,76,76,1.0,3,0.3547745358090186,110.5212986844172,152,76,76,0.0,0.11842105263157894,0,0,0,0,0,0.0,0,0,0.16279069767441862,0.024734368331532842
adaptive,random_walk,open_water,8,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,39,39,,241,0.6666666666666666,2,0.8618479221927497,125.12603333340546,480,240,240,0.0,0.05625,0,0,0,0,0,0.0,0,0,0.05128205128205128,0.034296469494871216
adaptive,random_walk,open_water,9,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,30,30,174,174,1.0,3,0.7035809018567639,139.27021379281175,348,174,174,0.0,0.0,0,0,0,0,0,0.0,0,0,0.05,0.02622254089427271
adaptive,random_walk,harbor_cove,0,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,152,152,223,223,1.0,3,0.8571820175438597,109.6231008968196,446,223,223,0.0,0.026905829596412557,0,0,0,0,0,0.0,0,0,0.23355263157894737,0.02401889048805868
adaptive,random_walk,harbor_cove,1,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,147,147,239,239,1.0,3,0.8385416666666666,114.84237029309122,478,239,239,0.0,0.0,0,0,0,0,0,0.0,0,0,0.19387755102040816,0.024962866080903957
adaptive,random_walk,harbor_cove,2,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,64,64,,241,0.6666666666666666,2,0.856359649122807,111.31502541687344,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.375,0.03622690255321984
adaptive,random_walk,harbor_cove,3,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,7,7,128,128,1.0,3,0.5863486842105263,120.99756953119822,256,128,128,0.0,0.0,0,0,0,0,0,0.0,0,0,0.35714285714285715,0.038809615664025375
adaptive,random_walk,harbor_cove,4,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,19,19,116,116,1.0,3,0.5825109649122807,119.46596120682882,232,116,116,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.03622351481924792
adaptive,random_walk,harbor_cove,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,60,60,,241,0.6666666666666666,2,0.8116776315789473,112.1908275000654,480,240,240,0.0,0.08958333333333333,0,0,0,0,0,0.0,0,0,0.2,0.0398825291287868
adaptive,random_walk,harbor_cove,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,16,16,78,78,1.0,3,0.4602521929824561,115.04790897491218,156,78,78,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0625,0.050638291017744565
adaptive,random_walk,harbor_cove,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,,241,,241,0.0,0,0.7946820175438597,107.96420166640625,480,240,240,0.0,0.04791666666666667,0,0,0,0,0,0.0,0,0,0.23125,0.030914927775664066
adaptive,random_walk,harbor_cove,8,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,63,63,,241,0.6666666666666666,2,0.8168859649122807,112.10901750012756,480,240,240,0.0,0.05416666666666667,0,0,0,0,0,0.0,0,0,0.18253968253968253,0.02827672927346867
adaptive,random_walk,harbor_cove,9,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,71,71,,241,0.6666666666666666,2,0.8845942982456141,119.59092416670198,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.19718309859154928,0.03520814696924135
adaptive,random_walk,peninsula_passage,0,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,47,47,,241,0.6666666666666666,2,0.9126189283925888,134.55183416651076,480,240,240,0.0,0.08958333333333333,0,0,0,0,0,0.003125,0,0,0.32978723404255317,0.039895784647712824
adaptive,random_walk,peninsula_passage,1,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,34,34,,241,0.6666666666666666,2,0.8477716574862293,157.12899499988757,480,240,240,0.0,0.06041666666666667,0,0,0,0,0,0.0,0,0,0.08823529411764706,0.03348290784060468
adaptive,random_walk,peninsula_passage,2,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,11,11,149,149,1.0,3,0.5235353029544316,169.7853530198785,298,149,149,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.05197027428899446
adaptive,random_walk,peninsula_passage,3,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,123,123,177,177,1.0,3,0.6895343014521783,139.40517514112727,354,177,177,0.0,0.05084745762711865,0,0,0,0,0,0.0,0,0,0.2032520325203252,0.025853658829667142
adaptive,random_walk,peninsula_passage,4,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,25,25,,241,0.6666666666666666,2,0.8868302453680521,153.5556741668794,480,240,240,0.0,0.04791666666666667,0,0,0,0,0,0.0,0,0,0.22,0.03399249111367121
adaptive,random_walk,peninsula_passage,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,24,24,141,141,1.0,3,0.6477215823735604,140.3714460996248,282,141,141,0.0,0.06028368794326241,0,0,0,0,0,0.0,0,0,0.22916666666666666,0.029069614596543874
adaptive,random_walk,peninsula_passage,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,40,40,234,234,1.0,3,0.8610415623435153,137.30109316206952,468,234,234,0.0,0.042735042735042736,0,0,0,0,0,0.0,0,0,0.1375,0.027877838757029722
adaptive,random_walk,peninsula_passage,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,140,140,,241,0.6666666666666666,2,0.7538808212318477,151.5570987498298,480,240,240,0.0,0.04583333333333333,0,0,0,0,0,0.0,0,0,0.21785714285714286,0.025238814479347206
adaptive,random_walk,peninsula_passage,8,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,82,82,137,137,1.0,3,0.49248873309964947,148.98743722621813,274,137,137,0.0,0.0,0,0,0,0,0,0.0,0,0,0.23780487804878048,0.030829769617523758
adaptive,random_walk,peninsula_passage,9,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,119,119,,241,0.6666666666666666,2,0.8540310465698547,145.68411208316925,480,240,240,0.0,0.17708333333333334,0,0,0,0,0,0.0,0,0,0.3487394957983193,0.028068641664243145
no_kappa,static,open_water,0,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,7,7,115,115,1.0,3,0.5163572060123784,119.78059391245631,230,115,115,0.0,0.0391304347826087,0,0,0,0,0,0.0,0,0,0.6428571428571429,0.03614228836715582
no_kappa,static,open_water,1,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,37,37,,241,0.6666666666666666,2,0.7862511052166224,132.66515291685815,480,240,240,0.0,0.027083333333333334,0,0,0,0,0,0.0,0,0,0.28378378378378377,0.03575809199515495
no_kappa,static,open_water,2,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,96,96,155,155,1.0,3,0.6080901856763926,121.59589806439227,310,155,155,0.0,0.0,0,0,0,0,0,0.0,0,0,0.24479166666666666,0.026540442132941558
no_kappa,static,open_water,3,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,67,67,,241,0.6666666666666666,2,0.8404067197170646,146.62022500021217,480,240,240,0.0,0.016666666666666666,0,0,0,0,0,0.0,0,0,0.23134328358208955,0.0198959373084451
no_kappa,static,open_water,4,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,57,57,,241,0.6666666666666666,2,0.8510167992926614,152.73409791661834,480,240,240,0.0,0.03958333333333333,0,0,0,0,0,0.0,0,0,0.20175438596491227,0.023723192750684467
no_kappa,static,open_water,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,46,46,207,207,1.0,3,0.7318744473916887,124.36098598997144,414,207,207,0.0,0.0,0,0,0,0,0,0.0,0,0,0.15217391304347827,0.022897014183326028
no_kappa,static,open_water,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,25,25,52,52,1.0,3,0.2541998231653404,107.46417115338912,104,52,52,0.0,0.028846153846153848,0,0,0,0,0,0.0,0,0,0.18,0.034286854634113864
no_kappa,static,open_water,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,45,45,156,156,1.0,3,0.6153846153846154,122.14275961531922,312,156,156,0.0,0.0,0,0,0,0,0,0.0,0,0,0.24444444444444444,0.02442643419887923
no_kappa,static,open_water,8,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,19,19,,241,0.6666666666666666,2,0.76105216622458,138.64728124984444,480,240,240,0.0,0.016666666666666666,0,0,0,0,0,0.0,0,0,0.21052631578947367,0.02782295572155389
no_kappa,static,open_water,9,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,29,29,,241,0.6666666666666666,2,0.7897877984084881,139.3429529168922,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.05172413793103448,0.02681363045128374
no_kappa,static,harbor_cove,0,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,152,152,239,239,1.0,3,0.8914473684210527,115.13030920514402,478,239,239,0.0,0.010460251046025104,0,0,0,0,0,0.0,0,0,0.3157894736842105,0.03283985387221922
no_kappa,static,harbor_cove,1,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,40,40,,241,0.6666666666666666,2,0.8086622807017544,130.37150958349835,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.2625,0.03434846786040297
no_kappa,static,harbor_cove,2,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,49,49,,241,0.6666666666666666,2,0.9035087719298246,133.61059083338964,480,240,240,0.0,0.004166666666666667,0,0,0,0,0,0.0,0,0,0.20408163265306123,0.024654144189406025
no_kappa,static,harbor_cove,3,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,12,12,40,40,1.0,3,0.25219298245614036,99.75734250001551,80,40,40,0.0,0.0,0,0,0,0,0,0.0,0,0,0.20833333333333334,0.03606444513220826
no_kappa,static,harbor_cove,4,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,11,11,149,149,1.0,3,0.674890350877193,115.20934563812615,298,149,149,0.0,0.053691275167785234,0,0,0,0,0,0.0,0,0,0.3181818181818182,0.04086793882668321
no_kappa,static,harbor_cove,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,52,52,,241,0.6666666666666666,2,0.8908991228070176,126.6694645836651,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.3173076923076923,0.03641138189251159
no_kappa,static,harbor_cove,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,19,19,204,204,1.0,3,0.8050986842105263,150.0857112746684,408,204,204,0.0,0.007352941176470588,0,0,0,0,0,0.0,0,0,0.15789473684210525,0.05160494974398485
no_kappa,static,harbor_cove,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,16,16,,241,0.6666666666666666,2,0.8382675438596491,135.68904500007193,480,240,240,0.0,0.05,0,0,0,0,0,0.0,0,0,0.40625,0.03683226528953085
