planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count,replan_count,path_invalidations_per_episode,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean
adaptive,random_walk,peninsula_passage,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,35,35,,241,0.6666666666666666,2,0.6976744186046512,27.101532432621948,240,24,9,37,0,0.0026041666666666665,0.0026041666666666665,3.1458333333333335
adaptive,random_walk,peninsula_passage,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,74,74,,241,0.6666666666666666,2,0.7400516795865633,26.13741351268726,240,21,7,37,0,0.0026041666666666665,0.0026041666666666665,3.933333333333333
adaptive,random_walk,peninsula_passage,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,86,86,,241,0.6666666666666666,2,0.7012919896640827,28.560348717945043,240,28,7,39,0,0.0026041666666666665,0.0026041666666666665,3.783333333333333
adaptive,random_walk,peninsula_passage,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,19,19,,241,0.6666666666666666,2,0.6981912144702842,20.52642162114451,240,26,10,37,0,0.0026041666666666665,0.0026041666666666665,4.083333333333333
adaptive,random_walk,peninsula_passage,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,44,44,229,229,1.0,3,0.8718346253229974,23.305308333066122,229,27,12,36,0,0.0027292576419213972,0.0027292576419213972,4.323144104803493
adaptive,random_walk,peninsula_passage,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,32,32,,241,0.6666666666666666,2,0.7116279069767442,26.950802777314998,240,17,7,36,0,0.0026041666666666665,0.0026041666666666665,3.1125
no_kappa,static,open_water,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,62,62,90,90,1.0,3,0.37477313974591653,18.366111111390637,90,14,4,18,0,0.006944444444444444,0.006944444444444444,7.722222222222222
no_kappa,static,open_water,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,63,63,212,212,1.0,3,0.6828493647912885,23.188837209979052,212,36,10,43,0,0.00294811320754717,0.00294811320754717,7.716981132075472
no_kappa,static,open_water,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,60,60,217,217,1.0,3,0.7277676950998185,21.559440909021017,217,34,18,44,0,0.002880184331797235,0.002880184331797235,8.571428571428571
no_kappa,static,open_water,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,45,45,,241,0.6666666666666666,2,0.8039927404718693,26.990932653443082,240,39,15,49,0,0.0026041666666666665,0.0026041666666666665,7.779166666666667
no_kappa,static,open_water,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,36,36,,241,0.6666666666666666,2,0.603448275862069,19.61264897975952,240,41,15,49,0,0.0026041666666666665,0.0026041666666666665,7.629166666666666
no_kappa,static,open_water,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,12,12,197,197,1.0,3,0.6152450090744102,20.988469999974768,197,36,19,40,0,0.0031725888324873096,0.0031725888324873096,8.213197969543147
