episode_seed,map_kind,target_motion_mode,baseline_viewpoint_generation_mode,challenger_viewpoint_generation_mode,time_to_first_detection_delta,time_to_all_found_delta,success_all_found_delta,detection_rate_delta,found_count_delta,known_free_observation_ratio_final_delta,path_length_delta,planning_time_ms_mean_delta,candidate_pool_size_mean_delta,reachable_pool_size_mean_delta,a_star_checked_pool_size_mean_delta,selected_viewpoint_rank_mean_delta
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,-4.0,,1.0,0.33333333333333337,1.0,-0.14076576576576572,-123.0,-5.169743282693869,1.612244897959183,1.612244897959183,6.0,0.989795918367347
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,,1.0,0.33333333333333337,1.0,-0.2691441441441441,-50.0,-6.483007499746236,0.620000000000001,0.620000000000001,5.059999999999999,-0.4400000000000004
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,-22.0,0.0,0.0,0.0,-0.1348837209302326,-22.0,-4.8700195886824496,1.5151515151515156,1.5151515151515156,6.545454545454547,0.054112554112554
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,-1.0,-69.0,0.0,0.0,0.0,-0.24909560723514218,-69.0,-7.73077381371872,-0.47628083491461126,-0.47628083491461126,4.5882352941176485,0.31309297912713463
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,-34.0,,-1.0,-0.33333333333333337,-1.0,0.014987080103359252,19.0,-4.7850129488581,1.8000000000000007,1.8000000000000007,6.422222222222221,0.867948717948718
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,-4.0,,0.0,0.0,0.0,-0.1421188630490956,0.0,-3.70256530609646,1.0,1.0,5.530612244897959,-1.163265306122449
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,-12.0,,1.0,0.33333333333333337,1.0,-0.2945736434108528,-82.0,-4.671545472102917,2.0816326530612237,2.0816326530612237,6.408163265306122,-0.2091836734693877
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,-2.0,,1.0,0.33333333333333337,1.0,-0.15607235142118858,-105.0,-2.6937408918976367,1.0,1.0,6.0,0.15117157974300843
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,63.0,,0.0,0.0,0.0,0.14160206718346258,0.0,-3.006693750194245,0.8958333333333321,0.8958333333333321,5.875,0.08333333333333348
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,8.0,,-1.0,-0.33333333333333337,-1.0,0.006201550387596844,10.0,-2.95285969199362,0.608695652173914,0.608695652173914,5.391304347826086,-0.5307971014492754
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,-101.0,,0.0,0.0,0.0,0.11731266149870812,0.0,-4.500528571804111,1.183673469387756,1.183673469387756,5.877551020408166,0.2857142857142856
,peninsula_passage,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,55.0,0.0,0.0,0.0,0.10387596899224805,55.0,1.4034576090942714,1.1944444444444429,1.1944444444444429,6.027777777777779,0.01449275362318847
