tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout
525,0,40,45,25.0,0.0,21.65814971923828,-0.21850039064884186,0.16787487268447876,21.65814971923828,-0.21850039064884186,0.16787487268447876,40,44,3.348985774789268,False,False
526,0,40,45,25.0,0.0,21.67526626586914,-0.21738670766353607,0.1678863763809204,21.67526626586914,-0.21738670766353607,0.1678863763809204,40,44,3.331833036563585,False,False
527,0,40,45,25.0,0.0,21.69229507446289,-0.21627876162528992,0.16791678965091705,21.69229507446289,-0.21627876162528992,0.16791678965091705,40,44,3.3147682237454585,False,False
528,0,40,45,25.0,0.0,21.7092342376709,-0.2151765376329422,0.16790542006492615,21.7092342376709,-0.2151765376329422,0.16790542006492615,40,44,3.2977932386468884,False,False
529,0,40,45,25.0,0.0,21.726083755493164,-0.21408000588417053,0.1679152250289917,21.726083755493164,-0.21408000588417053,0.1679152250289917,40,44,3.2809080793227214,False,False
530,0,40,45,25.0,0.0,21.74284553527832,-0.21298913657665253,0.16788528859615326,21.74284553527832,-0.21298913657665253,0.16788528859615326,40,44,3.2641108405438746,False,False
531,0,40,45,25.0,0.0,21.759517669677734,-0.2119038999080658,0.1678783893585205,21.759517669677734,-0.2119038999080658,0.1678783893585205,40,44,3.2474034236489726,False,False
532,0,40,45,25.0,0.0,21.776103973388672,-0.21082425117492676,0.1678922027349472,21.776103973388672,-0.21082425117492676,0.1678922027349472,40,44,3.230782019153223,False,False
533,0,40,45,25.0,0.0,21.792604446411133,-0.2097501903772354,0.16786585748195648,21.792604446411133,-0.2097501903772354,0.16786585748195648,40,44,3.21424662705663,False,False
534,0,40,45,25.0,0.0,21.809017181396484,-0.20868167281150818,0.1678621619939804,21.809017181396484,-0.20868167281150818,0.1678621619939804,40,44,3.1977991477249232,False,False
535,0,40,45,25.0,0.0,21.825342178344727,-0.20761866867542267,0.16787885129451752,21.825342178344727,-0.20761866867542267,0.16787885129451752,40,44,3.181439579212461,False,False
536,0,40,45,25.0,0.0,21.841583251953125,-0.2065611630678177,0.16785506904125214,21.841583251953125,-0.2065611630678177,0.16785506904125214,40,44,3.165164113980652,False,False
537,0,40,45,25.0,0.0,21.85774040222168,-0.20550911128520966,0.16785366833209991,21.85774040222168,-0.20550911128520966,0.16785366833209991,40,44,3.1489727491121937,False,False
538,0,40,45,25.0,0.0,21.873811721801758,-0.20446249842643738,0.1678723841905594,21.873811721801758,-0.20446249842643738,0.1678723841905594,40,44,3.1328673869167956,False,False
539,0,40,45,25.0,0.0,21.88979721069336,-0.20342127978801727,0.16785043478012085,21.88979721069336,-0.20342127978801727,0.16785043478012085,40,44,3.116848024476234,False,False
540,0,40,45,25.0,0.0,21.90570068359375,-0.20238544046878815,0.16785064339637756,21.90570068359375,-0.20238544046878815,0.16785064339637756,40,44,3.1009108542533,False,False
541,0,40,45,25.0,0.0,21.921520233154297,-0.2013549506664276,0.16787081956863403,21.921520233154297,-0.2013549506664276,0.16787081956863403,40,44,3.085057777584766,False,False
542,0,40,45,25.0,0.0,21.937257766723633,-0.20032978057861328,0.16785015165805817,21.937257766723633,-0.20032978057861328,0.16785015165805817,40,44,3.069286889243393,False,False
543,0,40,45,25.0,0.0,21.952911376953125,-0.19930991530418396,0.16779270768165588,21.952911376953125,-0.19930991530418396,0.16779270768165588,40,44,3.0536000915378985,False,False
544,0,40,45,25.0,0.0,21.96848487854004,-0.19829531013965607,0.16776098310947418,21.96848487854004,-0.19829531013965607,0.16776098310947418,40,44,3.0379935749872455,False,False
545,0,40,45,25.0,0.0,21.98397445678711,-0.1972859501838684,0.16775237023830414,21.98397445678711,-0.1972859501838684,0.16775237023830414,40,44,3.0224711451811355,False,False
546,0,40,45,25.0,0.0,21.9993839263916,-0.1962817907333374,0.16782338917255402,21.9993839263916,-0.1962817907333374,0.16782338917255402,40,44,3.007028992638842,False,False
547,0,40,45,25.0,0.0,22.014711380004883,-0.19528283178806305,0.1679072231054306,22.014711380004883,-0.19528283178806305,0.1679072231054306,40,44,2.9916690206410728,False,False
548,0,40,45,25.0,0.0,22.02996063232422,-0.19428902864456177,0.1679438203573227,22.02996063232422,-0.19428902864456177,0.1679438203573227,40,44,2.976387419707925,False,False
