tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
87,0,"[40, 45]",25.0,0.0,11.506169319152832,0.0,0.16100798547267914,40,42,13.493830680847168,0.0,0.0,0.0,8000.0,8000.0,False,False
88,0,"[40, 45]",25.0,0.0,11.655477523803711,0.0,0.1615114063024521,40,42,13.344522476196289,0.0,0.0,0.0,8000.0,8000.0,False,False
89,0,"[40, 45]",25.0,0.0,11.804786682128906,0.0,0.16227784752845764,40,42,13.195213317871094,0.0,0.0,0.0,8000.0,8000.0,False,False
90,0,"[40, 45]",25.0,0.0,11.954094886779785,0.0,0.16328085958957672,40,42,13.045905113220215,0.0,0.0,0.0,8000.0,8000.0,False,False
91,0,"[40, 45]",25.0,0.0,12.10340404510498,0.0,0.1644379198551178,40,42,12.89659595489502,0.0,0.0,0.0,8000.0,8000.0,False,False
92,0,"[40, 45]",25.0,0.0,12.252713203430176,0.0,0.16561593115329742,40,42,12.747286796569824,0.0,0.0,0.0,8000.0,8000.0,False,False
93,0,"[40, 45]",25.0,0.0,12.40202522277832,0.0,0.16657763719558716,40,42,12.59797477722168,0.0,0.0,0.0,8000.0,8000.0,False,False
94,0,"[40, 45]",25.0,0.0,12.55134105682373,0.0,0.1672271490097046,40,43,12.44865894317627,0.0,0.0,0.0,8000.0,8000.0,False,False
95,0,"[40, 45]",25.0,0.0,12.700658798217773,0.0,0.16747824847698212,40,43,12.299341201782227,0.0,0.0,0.0,8000.0,8000.0,False,False
96,0,"[40, 45]",25.0,0.0,12.849981307983398,0.0,0.1673121452331543,40,43,12.150018692016602,0.0,0.0,0.0,8000.0,8000.0,False,False
97,0,"[40, 45]",25.0,0.0,12.999306678771973,0.0,0.16677072644233704,40,43,12.000693321228027,0.0,0.0,0.0,8000.0,8000.0,False,False
98,0,"[40, 45]",25.0,0.0,13.14863395690918,0.0,0.16595050692558289,40,43,11.85136604309082,0.0,0.0,0.0,8000.0,8000.0,False,False
99,0,"[40, 45]",25.0,0.0,13.297962188720703,0.0,0.16511468589305878,40,43,11.702037811279297,0.0,0.0,0.0,8000.0,8000.0,False,False
100,0,"[40, 45]",25.0,0.0,13.447290420532227,0.0,0.16438241302967072,40,43,11.552709579467773,0.0,0.0,0.0,8000.0,8000.0,False,False
