tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
122,2,"[41, 40]",0.0,-10.0,9.836380004882812,-5.637139320373535,0.18259656429290771,41,41,10.76052623760981,268.56763458251953,203.91936049623212,-64.64827408628742,8000.0,-4083.3585343733635,False,False
123,2,"[41, 40]",0.0,-10.0,9.851814270019531,-5.722592353820801,0.17978447675704956,41,41,10.740319389224547,267.42842864990234,203.4692618164669,-63.95916683343543,8000.0,-3931.76430747522,False,False
124,2,"[41, 40]",0.0,-10.0,9.865894317626953,-5.799502372741699,0.17721258103847504,41,41,10.722875127650534,266.1874008178711,203.0623375232428,-63.12506329462829,8000.0,-3747.494327478802,False,False
125,2,"[41, 40]",0.0,-10.0,9.878759384155273,-5.868734836578369,0.1749744564294815,41,41,10.707812046377029,264.8470687866211,202.69452359748092,-62.15254518914017,8000.0,-3532.5060019176635,False,False
126,2,"[41, 40]",0.0,-10.0,9.890532493591309,-5.931069374084473,0.1730954796075821,41,41,10.69480385258649,263.409912109375,202.36209532651503,-61.04781678285997,8000.0,-3288.7055053345666,False,False
127,2,"[41, 40]",0.0,-10.0,9.901325225830078,-5.987205982208252,0.1717161238193512,41,41,10.683574170514484,261.87835693359375,202.061653413574,-59.81670352001976,8000.0,-3017.951947867749,False,False
128,2,"[41, 40]",0.0,-10.0,9.911236763000488,-6.037776947021484,0.17096279561519623,41,41,10.673885220190762,260.25474548339844,201.79008775211642,-58.46465773128202,8000.0,-2722.0644925532733,False,False
129,2,"[41, 40]",0.0,-10.0,9.920355796813965,-6.083348274230957,0.17100805044174194,41,41,10.66553420492148,258.54136657714844,201.54458266754062,-56.996783909607814,8000.0,-2402.8315237664588,False,False
130,2,"[41, 40]",0.0,-10.0,9.928763389587402,-6.124432563781738,0.17177200317382812,41,41,10.658347217044794,256.740478515625,201.32255988951306,-55.41791862611194,8000.0,-2062.031787202978,False,False
131,2,"[41, 40]",0.0,-10.0,9.936528205871582,-6.161489009857178,0.1730651706457138,41,41,10.652171581772834,254.85424041748047,201.12169781235542,-53.73254260512505,8000.0,-1701.4189397202508,False,False
132,2,"[41, 40]",0.0,-10.0,9.943714141845703,-6.194932460784912,0.1747758686542511,41,41,10.646877002799018,252.88479614257812,200.9398789693172,-51.94491717326093,8000.0,-1322.7517839044522,False,False
133,2,"[41, 40]",0.0,-10.0,9.950112342834473,-6.225979328155518,0.17674368619918823,41,41,10.641802839112195,250.8419189453125,200.77144987778917,-50.070469067523334,8000.0,-930.3644527141942,False,False
134,2,"[41, 40]",0.0,-10.0,9.955118179321289,-6.256715774536133,0.17895424365997314,41,41,10.635626674383595,248.74447631835938,200.60706635375968,-48.1374099645997,8000.0,-531.4215847788073,False,False
135,2,"[41, 40]",0.0,-10.0,9.958039283752441,-6.288998126983643,0.18133947253227234,41,41,10.627044804567626,246.61115264892578,200.43860900095044,-46.172543647975345,8000.0,-132.6039192155431,False,False
136,2,"[41, 40]",0.0,-10.0,9.958117485046387,-6.324432373046875,0.1838395744562149,41,41,10.614796334659106,244.4601821899414,200.25923758609133,-44.200944603850076,8000.0,259.9972322020458,False,False
137,2,"[41, 40]",0.0,-10.0,9.954545021057129,-6.364365577697754,0.18634113669395447,41,41,10.597679190694642,242.3090591430664,200.06338477231557,-42.245674370750834,8000.0,640.962805465826,False,False
138,2,"[41, 40]",0.0,-10.0,9.946497917175293,-6.409882068634033,0.18885691463947296,41,41,10.574581201044696,240.17432403564453,199.8466885776204,-40.32763545802413,8000.0,1005.5933934862096,False,False
