tick_global,waypoint_index,target_x,target_y,gps_x,gps_y,gps_z,distance_to_target,arrived,timeout
4436,3,25.0,-25.0,10.729421615600586,-25.72235679626465,0.1701383739709854,14.2888,False,False
4437,3,25.0,-25.0,10.779279708862305,-25.719833374023438,0.17017880082130432,14.2389,False,False
4438,3,25.0,-25.0,10.82913875579834,-25.717309951782227,0.1702355295419693,14.189,False,False
4439,3,25.0,-25.0,10.878997802734375,-25.714786529541016,0.1702481359243393,14.1391,False,False
4440,3,25.0,-25.0,10.92885684967041,-25.712263107299805,0.17022103071212769,14.0892,False,False
4441,3,25.0,-25.0,10.978715896606445,-25.709739685058594,0.17015817761421204,14.0392,False,False
4442,3,25.0,-25.0,11.028573989868164,-25.707216262817383,0.1701219528913498,13.9893,False,False
4443,3,25.0,-25.0,11.0784330368042,-25.704692840576172,0.17010967433452606,13.9394,False,False
4444,3,25.0,-25.0,11.128292083740234,-25.70216941833496,0.17011894285678864,13.8895,False,False
4445,3,25.0,-25.0,11.17815113067627,-25.69964599609375,0.1701475977897644,13.8395,False,False
4446,3,25.0,-25.0,11.228010177612305,-25.69712257385254,0.17019368708133698,13.7896,False,False
4447,3,25.0,-25.0,11.277868270874023,-25.694599151611328,0.17025545239448547,13.7397,False,False
4448,3,25.0,-25.0,11.327727317810059,-25.692075729370117,0.17027252912521362,13.6898,False,False
4449,3,25.0,-25.0,11.377586364746094,-25.689552307128906,0.17019058763980865,13.6399,False,False
4450,3,25.0,-25.0,11.427445411682129,-25.687028884887695,0.1700783371925354,13.5899,False,False
4451,3,25.0,-25.0,11.477304458618164,-25.684505462646484,0.16999760270118713,13.54,False,False
4452,3,25.0,-25.0,11.5271635055542,-25.681982040405273,0.16994521021842957,13.4901,False,False
4453,3,25.0,-25.0,11.577022552490234,-25.679458618164062,0.16991832852363586,13.4402,False,False
4454,3,25.0,-25.0,11.62688159942627,-25.67693519592285,0.1699143797159195,13.3902,False,False
4455,3,25.0,-25.0,11.676740646362305,-25.67441177368164,0.1699310839176178,13.3403,False,False
4456,3,25.0,-25.0,11.72659969329834,-25.671886444091797,0.16996635496616364,13.2904,False,False
4457,3,25.0,-25.0,11.776458740234375,-25.669363021850586,0.17001833021640778,13.2405,False,False
4458,3,25.0,-25.0,11.826316833496094,-25.666839599609375,0.17008532583713531,13.1905,False,False
4459,3,25.0,-25.0,11.876175880432129,-25.664316177368164,0.17016585171222687,13.1406,False,False
4460,3,25.0,-25.0,11.926034927368164,-25.661792755126953,0.1701997071504593,13.0907,False,False
4461,3,25.0,-25.0,11.9758939743042,-25.659269332885742,0.17019160091876984,13.0408,False,False
4462,3,25.0,-25.0,12.025753021240234,-25.65674591064453,0.17014572024345398,12.9909,False,False
4463,3,25.0,-25.0,12.07561206817627,-25.65422248840332,0.1701246201992035,12.9409,False,False
4464,3,25.0,-25.0,12.125471115112305,-25.65169906616211,0.1701258420944214,12.891,False,False
4465,3,25.0,-25.0,12.17533016204834,-25.6491756439209,0.1701471209526062,12.8411,False,False
4466,3,25.0,-25.0,12.225189208984375,-25.646650314331055,0.17018644511699677,12.7912,False,False
4467,3,25.0,-25.0,12.27504825592041,-25.644126892089844,0.1701832264661789,12.7412,False,False
4468,3,25.0,-25.0,12.324907302856445,-25.641603469848633,0.17014169692993164,12.6913,False,False
4469,3,25.0,-25.0,12.37476634979248,-25.639080047607422,0.17012450098991394,12.6414,False,False
4470,3,25.0,-25.0,12.424625396728516,-25.63655662536621,0.1701291799545288,12.5915,False,False
4471,3,25.0,-25.0,12.47448444366455,-25.634033203125,0.17015355825424194,12.5416,False,False
