run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,planned_observer_world_location,observer_pose_source,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,18,2,6,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.123347043991089, 5.872313499450684, 0.15235833823680878]","[7.787234042553192, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,1,1,21,"[149, 127, 276, 168]",[],,,,False,False,False,False,False
target,19,2,7,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.1673388481140137, -5.855682373046875, 0.1705753356218338]","[8.127659574468085, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,19,2,7,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.1688506603240967, 5.861700057983398, 0.15995478630065918]","[8.127659574468085, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,20,2,8,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.2126858234405518, -5.843310356140137, 0.17842435836791992]","[8.46808510638298, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,20,2,8,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.2146248817443848, 5.850854396820068, 0.16817638278007507]","[8.46808510638298, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,21,2,9,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.2582035064697266, -5.830495834350586, 0.18411916494369507]","[8.808510638297872, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,21,2,9,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.260645627975464, 5.839807987213135, 0.17578448355197906]","[8.808510638297872, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,22,2,10,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.303863763809204, -5.817251682281494, 0.1870531439781189]","[9.148936170212766, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[8],28.0661563873291,,,False,False,False,False,False
target,22,2,10,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.306891679763794, 5.828592300415039, 0.18160568177700043]","[9.148936170212766, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,23,2,11,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.349642038345337, -5.803591728210449, 0.18720941245555878]","[9.48936170212766, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[8],27.861417770385742,,,False,False,False,False,False
target,23,2,11,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.3533449172973633, 5.817238807678223, 0.18505431711673737]","[9.48936170212766, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,24,2,12,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,False,True,"[30.742301540254687, -10.611506894814168, 0.0]","[31.0, 0.0, 0.5]",10.614635513047244,"[3.3955159187316895, -5.7895307540893555, 0.1848667562007904]","[9.829787234042552, -6.0, 0.0]",live_location_sensor,27.768653869628906,-10.0,-7.5359375,8,-10.0,2.4640625,True,28,21590.74785647518,1,1,220,"[25, 126, 293, 195]",[8],27.768653869628906,sv0,27.768653869628903,False,False,False,False,False
target,24,2,12,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.3999900817871094, 5.805780410766602, 0.1859559863805771]","[9.829787234042552, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,1,1,29,"[51, 127, 264, 166]",[],,,,False,False,False,False,False
target,25,3,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[3.4414658546447754, -5.775083065032959, 0.18056994676589966]","[10.170212765957446, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[8],27.73471450805664,,,False,False,False,False,False
