tick_global,waypoint_index,wp_ticks,sv0_target_cell,sv0_target_world,sv0_loc_x,sv0_loc_y,sv0_loc_z,sv0_proj_row,sv0_proj_col,sv0_dist_m,sv0_heading_deg,sv0_t_heading_deg,sv0_err_deg,sv0_cmd_l,sv0_cmd_r,sv0_arrived,sv0_timeout,sv1_target_cell,sv1_target_world,sv1_loc_x,sv1_loc_y,sv1_loc_z,sv1_proj_row,sv1_proj_col,sv1_dist_m,sv1_heading_deg,sv1_t_heading_deg,sv1_err_deg,sv1_cmd_l,sv1_cmd_r,sv1_arrived,sv1_timeout,inter_vessel_distance_m
233,2,64,"[40, 36]","[-40.0, 0.0]",-39.52040100097656,4.445499420166016,0.19099998474121094,40,36,4.471295147332667,290.85888671875,263.84250789777536,-27.016378820974637,6511.7337548693595,476.2167962508497,True,False,"[40, 44]","[40.0, 0.0]",38.906307220458984,-5.679119110107422,0.18310630321502686,41,44,5.783472811625162,80.64594268798828,79.09935001438889,-1.5465926735993776,4803.782836149953,4458.270716578355,False,False,79.0775345014862
234,2,65,"[40, 36]","[-40.0, 0.0]",-39.46590042114258,4.3494391441345215,0.19069316983222961,40,36,4.382109449644693,289.8789978027344,262.999278408775,-26.879719393959363,6457.618521857396,452.63157226679505,True,False,"[40, 44]","[40.0, 0.0]",38.913143157958984,-5.532241344451904,0.18264856934547424,41,44,5.637991848908118,80.08480834960938,78.88529836758093,-1.1995099820284452,4686.900869779383,4418.9277677386235,False,False,78.99950684436715
235,2,66,"[40, 36]","[-40.0, 0.0]",-39.41348648071289,4.2538886070251465,0.19045820832252502,40,36,4.2941316222590205,288.8781280517578,262.14972328368697,-26.728404768070845,6402.766976271738,431.5840385618153,True,False,"[40, 44]","[40.0, 0.0]",38.92180252075195,-5.3853654861450195,0.18206974864006042,41,44,5.492237360458743,79.5377197265625,78.6785656002373,-0.8591541263251941,4570.427247812001,4378.490373745187,False,False,78.92612192687359
236,2,67,"[40, 36]","[-40.0, 0.0]",-39.36314392089844,4.158838272094727,0.19033735990524292,40,36,4.20731760613915,287.85587310791016,261.29374856326694,-26.56212454464321,6347.111999611153,413.07642036221114,True,False,"[40, 44]","[40.0, 0.0]",38.93223571777344,-5.238515853881836,0.18137963116168976,41,44,5.346229410881106,79.00432586669922,78.47924629605386,-0.5250795706453459,4454.341621380525,4337.0377193937165,False,False,78.85731885711537
237,2,68,"[40, 36]","[-40.0, 0.0]",-39.314849853515625,4.064270496368408,0.19031073153018951,40,36,4.121616841832616,286.8119659423828,260.4311106341787,-26.380855308204104,6290.606350196138,397.0667070552081,True,False,"[40, 44]","[40.0, 0.0]",38.94440460205078,-5.091716766357422,0.18070444464683533,41,44,5.19998666084605,78.48426818847656,78.28757537066033,-0.19669281781622772,4338.604803904646,4294.663206644888,False,False,78.79303910052136
238,2,69,"[40, 36]","[-40.0, 0.0]",-39.268592834472656,3.9701597690582275,0.19042016565799713,40,36,4.0369697835917995,285.7462615966797,259.56166002652265,-26.184601570157042,6233.200620852651,383.50448360954715,True,False,"[40, 44]","[40.0, 0.0]",38.958274841308594,-4.9449896812438965,0.1801575869321823,40,44,5.053524933534933,77.97724151611328,78.10385644815469,0.12661493204140584,4223.17263567914,4251.458682991925,False,False,78.73323768323904
239,2,70,"[40, 36]","[-40.0, 0.0]",-39.22434997558594,3.8764736652374268,0.19058658182621002,40,36,3.953312666315785,284.6587219238281,258.6850182459872,-25.973703677840945,6174.871417327118,372.29032144635084,True,False,"[40, 44]","[40.0, 0.0]",38.97379684448242,-4.798354625701904,0.17978212237358093,40,44,4.906862544476776,77.48290252685547,77.9282570344222,0.44535450756671935,4108.011697377043,4207.504849321199,True,False,78.67784193767804
240,3,1,"[40, 35]","[-50.0, 0.0]",-39.182106018066406,3.783174753189087,0.19079849123954773,40,36,11.46033339033042,283.5493927001953,199.27547388039042,-84.27391881980489,8000.0,-8000.0,False,False,"[40, 45]","[50.0, 0.0]",38.99094009399414,-4.651829719543457,0.17955785989761353,40,44,11.951523741918997,77.00093841552734,22.90627425708221,-54.09466415844514,8000.0,-1366.2485792099487,False,False,78.6268048371124
241,3,2,"[40, 35]","[-50.0, 0.0]",-39.14397430419922,3.699270009994507,0.19036243855953217,40,36,11.468997014330922,282.3375015258789,198.81691821905608,-83.52058330682283,8000.0,-8000.0,False,False,"[40, 45]","[50.0, 0.0]",39.006385803222656,-4.519349575042725,0.17847831547260284,40,44,11.886297728436016,76.40650939941406,22.347005494132443,-54.059503905281616,8000.0,-1379.095808588988,False,False,78.58132407132928
242,3,3,"[40, 35]","[-50.0, 0.0]",-39.10954666137695,3.6238112449645996,0.18934328854084015,40,36,11.477542500895293,281.0256118774414,198.40492436280533,-82.62068751463607,8000.0,-8000.0,False,False,"[40, 45]","[50.0, 0.0]",39.020294189453125,-4.39955997467041,0.17674268782138824,40,44,11.828358620572795,75.70187377929688,21.83593956093786,-53.865934218359016,8000.0,-1354.2930515187609,False,False,78.54073157988856
