tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
1969,0,2,10,-150.0,190.0,-153.5493927001953,190.0,0.1793501377105713,-153.5493927001953,190.0,0.1793501377105713,2,9,3.5493927001953125,False,False,10
1970,0,2,10,-150.0,190.0,-153.53118896484375,190.0,0.1793321669101715,-153.53118896484375,190.0,0.1793321669101715,2,9,3.53118896484375,False,False,10
1971,0,2,10,-150.0,190.0,-153.51307678222656,190.0,0.1793355941772461,-153.51307678222656,190.0,0.1793355941772461,2,9,3.5130767822265625,False,False,10
1972,0,2,10,-150.0,190.0,-153.49505615234375,190.0,0.17935828864574432,-153.49505615234375,190.0,0.17935828864574432,2,9,3.49505615234375,False,False,10
1973,0,2,10,-150.0,190.0,-153.47714233398438,190.0,0.1793982982635498,-153.47714233398438,190.0,0.1793982982635498,2,9,3.477142333984375,False,False,10
1974,0,2,10,-150.0,190.0,-153.45932006835938,190.0,0.17945390939712524,-153.45932006835938,190.0,0.17945390939712524,2,9,3.459320068359375,False,False,10
1975,0,2,10,-150.0,190.0,-153.44158935546875,190.0,0.17946474254131317,-153.44158935546875,190.0,0.17946474254131317,2,9,3.44158935546875,False,False,10
1976,0,2,10,-150.0,190.0,-153.4239501953125,190.0,0.17943531274795532,-153.4239501953125,190.0,0.17943531274795532,2,9,3.4239501953125,False,False,10
1977,0,2,10,-150.0,190.0,-153.40640258789062,190.0,0.17942841351032257,-153.40640258789062,190.0,0.17942841351032257,2,9,3.406402587890625,False,False,10
1978,0,2,10,-150.0,190.0,-153.38894653320312,190.0,0.17944180965423584,-153.38894653320312,190.0,0.17944180965423584,2,9,3.388946533203125,False,False,10
1979,0,2,10,-150.0,190.0,-153.37158203125,190.0,0.17941467463970184,-153.37158203125,190.0,0.17941467463970184,2,9,3.37158203125,False,False,10
1980,0,2,10,-150.0,190.0,-153.35430908203125,190.0,0.17940984666347504,-153.35430908203125,190.0,0.17940984666347504,2,9,3.35430908203125,False,False,10
1981,0,2,10,-150.0,190.0,-153.33712768554688,190.0,0.17942509055137634,-153.33712768554688,190.0,0.17942509055137634,2,9,3.337127685546875,False,False,10
1982,0,2,10,-150.0,190.0,-153.3200225830078,190.0,0.17945842444896698,-153.3200225830078,190.0,0.17945842444896698,2,9,3.3200225830078125,False,False,10
1983,0,2,10,-150.0,190.0,-153.3030242919922,190.0,0.17944921553134918,-153.3030242919922,190.0,0.17944921553134918,2,9,3.3030242919921875,False,False,10
1984,0,2,10,-150.0,190.0,-153.28611755371094,190.0,0.1794017255306244,-153.28611755371094,190.0,0.1794017255306244,2,9,3.2861175537109375,False,False,10
1985,0,2,10,-150.0,190.0,-153.269287109375,190.0,0.17937858402729034,-153.269287109375,190.0,0.17937858402729034,2,9,3.269287109375,False,False,10
1986,0,2,10,-150.0,190.0,-153.25254821777344,190.0,0.17937736213207245,-153.25254821777344,190.0,0.17937736213207245,2,9,3.2525482177734375,False,False,10
1987,0,2,10,-150.0,190.0,-153.23590087890625,190.0,0.1793958693742752,-153.23590087890625,190.0,0.1793958693742752,2,9,3.23590087890625,False,False,10
1988,0,2,10,-150.0,190.0,-153.21934509277344,190.0,0.17943210899829865,-153.21934509277344,190.0,0.17943210899829865,2,9,3.2193450927734375,False,False,10
1989,0,2,10,-150.0,190.0,-153.20286560058594,190.0,0.17948433756828308,-153.20286560058594,190.0,0.17948433756828308,2,9,3.2028656005859375,False,False,10
1990,0,2,10,-150.0,190.0,-153.1864776611328,190.0,0.17949213087558746,-153.1864776611328,190.0,0.17949213087558746,2,9,3.1864776611328125,False,False,10
1991,0,2,10,-150.0,190.0,-153.17018127441406,190.0,0.17945994436740875,-153.17018127441406,190.0,0.17945994436740875,2,9,3.1701812744140625,False,False,10
1992,0,2,10,-150.0,190.0,-153.15396118164062,190.0,0.1793917864561081,-153.15396118164062,190.0,0.1793917864561081,2,9,3.153961181640625,False,False,10
1993,0,2,10,-150.0,190.0,-153.13783264160156,190.0,0.17935004830360413,-153.13783264160156,190.0,0.17935004830360413,2,9,3.1378326416015625,False,False,10
1994,0,2,10,-150.0,190.0,-153.1217803955078,190.0,0.17933207750320435,-153.1217803955078,190.0,0.17933207750320435,2,9,3.1217803955078125,False,False,10
1995,0,2,10,-150.0,190.0,-153.10581970214844,190.0,0.17933550477027893,-153.10581970214844,190.0,0.17933550477027893,2,9,3.1058197021484375,False,False,10
1996,0,2,10,-150.0,190.0,-153.08993530273438,190.0,0.17935819923877716,-153.08993530273438,190.0,0.17935819923877716,2,9,3.089935302734375,False,False,10
1997,0,2,10,-150.0,190.0,-153.0741424560547,190.0,0.17939820885658264,-153.0741424560547,190.0,0.17939820885658264,2,9,3.0741424560546875,False,False,10
1998,0,2,10,-150.0,190.0,-153.0584259033203,190.0,0.17945381999015808,-153.0584259033203,190.0,0.17945381999015808,2,9,3.0584259033203125,False,False,10
1999,0,2,10,-150.0,190.0,-153.0428009033203,190.0,0.1794646680355072,-153.0428009033203,190.0,0.1794646680355072,2,9,3.0428009033203125,False,False,10
2000,0,2,10,-150.0,190.0,-153.02725219726562,190.0,0.17943522334098816,-153.02725219726562,190.0,0.17943522334098816,2,9,3.027252197265625,False,False,10
2001,0,2,10,-150.0,190.0,-153.01177978515625,190.0,0.1794283390045166,-153.01177978515625,190.0,0.1794283390045166,2,9,3.01177978515625,False,False,10
2002,0,2,10,-150.0,190.0,-152.99639892578125,190.0,0.17944173514842987,-152.99639892578125,190.0,0.17944173514842987,2,9,2.99639892578125,False,False,10
2003,0,2,10,-150.0,190.0,-152.98109436035156,190.0,0.17941458523273468,-152.98109436035156,190.0,0.17941458523273468,2,9,2.9810943603515625,False,False,10
2004,0,2,10,-150.0,190.0,-152.9658660888672,190.0,0.17940975725650787,-152.9658660888672,190.0,0.17940975725650787,2,9,2.9658660888671875,False,False,10
2005,0,2,10,-150.0,190.0,-152.95071411132812,190.0,0.17942501604557037,-152.95071411132812,190.0,0.17942501604557037,2,9,2.950714111328125,False,False,10
2006,0,2,10,-150.0,190.0,-152.93565368652344,190.0,0.17945833504199982,-152.93565368652344,190.0,0.17945833504199982,2,9,2.9356536865234375,False,False,10
2007,0,2,10,-150.0,190.0,-152.92066955566406,190.0,0.1794491410255432,-152.92066955566406,190.0,0.1794491410255432,2,9,2.9206695556640625,False,False,10
2008,0,2,10,-150.0,190.0,-152.90576171875,190.0,0.17940165102481842,-152.90576171875,190.0,0.17940165102481842,2,9,2.90576171875,False,False,10
2009,0,2,10,-150.0,190.0,-152.89093017578125,190.0,0.17937850952148438,-152.89093017578125,190.0,0.17937850952148438,2,9,2.89093017578125,False,False,10
2010,0,2,10,-150.0,190.0,-152.8761749267578,190.0,0.17937728762626648,-152.8761749267578,190.0,0.17937728762626648,2,9,2.8761749267578125,False,False,10
2011,0,2,10,-150.0,190.0,-152.8614959716797,190.0,0.17939579486846924,-152.8614959716797,190.0,0.17939579486846924,2,9,2.8614959716796875,False,False,10
