step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world
70,"[34, 37]","[-14.911718368530273, 27.495988845825195]","[25, 30]","[-50.0, 75.0]","[-50.078800201416016, 74.98773193359375, 0.17818178236484528]","[25, 30]",10,0.08135245139894204,"[[34, 37], [35, 37], [36, 37], [37, 37], [38, 37]]","[35, 37]","[-15.0, 25.0]","[-14.911718368530273, 27.495988845825195, 0.16591297090053558]","[35, 37]",True,False,206,2.4975495920879625,0,0,0,[False],[None],1.0000000000000002,1.0,0.7424144093768912,False,none,"[38, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
71,"[35, 37]","[-14.89802360534668, 22.495880126953125]","[25, 30]","[-50.0, 75.0]","[-50.078250885009766, 74.9878158569336, 0.17818135023117065]","[25, 30]",10,0.0797068293411644,"[[35, 37], [36, 37], [37, 37], [38, 37], [39, 37], [40, 37], [41, 37], [42, 37], [43, 37]]","[36, 37]","[-15.0, 20.0]","[-14.89802360534668, 22.495880126953125, 0.16561540961265564]","[36, 37]",True,False,206,2.497962528379086,0,0,0,[False],[None],1.0000000000000002,1.0,0.7603135084154219,True,commit_expired,"[43, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
72,"[36, 37]","[-14.879864692687988, 17.4957218170166]","[25, 30]","[-50.0, 75.0]","[-50.07807159423828, 74.98784637451172, 0.17818091809749603]","[25, 30]",10,0.07917870011820241,"[[36, 37], [37, 37], [38, 37], [39, 37], [40, 37], [41, 37], [42, 37], [43, 37]]","[37, 37]","[-15.0, 15.0]","[-14.879864692687988, 17.4957218170166, 0.16566455364227295]","[37, 37]",True,False,206,2.4986115904629114,0,0,0,[False],[None],0.9999999999999996,1.0,0.7084655192080807,False,none,"[43, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
73,"[37, 37]","[-14.855116844177246, 12.495475769042969]","[25, 30]","[-50.0, 75.0]","[-50.0780143737793, 74.98785400390625, 0.17818047106266022]","[25, 30]",10,0.07900815663571716,"[[37, 37], [38, 37], [39, 37], [40, 37], [41, 37], [42, 37], [43, 37]]","[38, 37]","[-15.0, 10.0]","[-14.855116844177246, 12.495475769042969, 0.16555887460708618]","[38, 37]",True,False,206,2.4996780678162853,0,0,0,[False],[None],1.0,1.0,0.6828677486066902,False,none,"[43, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
74,"[38, 37]","[-14.821492195129395, 7.482394218444824]","[25, 30]","[-50.0, 75.0]","[-50.077999114990234, 74.98785400390625, 0.1781662255525589]","[25, 30]",10,0.07895421291663438,"[[38, 37], [39, 37], [40, 37], [41, 37], [42, 37], [43, 37]]","[39, 37]","[-15.0, 5.0]","[-14.821492195129395, 7.482394218444824, 0.16566844284534454]","[39, 37]",True,False,207,2.488804149017759,0,0,0,[False],[None],1.0000000000000002,1.0,0.7139979832082387,False,none,"[43, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
75,"[39, 37]","[-14.775162696838379, 2.477475643157959]","[25, 30]","[-50.0, 75.0]","[-50.0779914855957, 74.98785400390625, 0.1781141608953476]","[25, 30]",10,0.07893913579694925,"[[39, 37], [40, 37], [41, 37], [42, 37], [43, 37]]","[40, 37]","[-15.0, 0.0]","[-14.775162696838379, 2.477475643157959, 0.16564124822616577]","[40, 37]",True,False,207,2.487657005162475,0,0,0,[False],[None],0.9999999999999998,1.0,0.7400200805269723,False,none,"[43, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
76,"[40, 37]","[-17.52655029296875, -0.2990967631340027]","[25, 30]","[-50.0, 75.0]","[-50.0779914855957, 74.98785400390625, 0.17813128232955933]","[25, 30]",10,0.07893159726328967,"[[40, 37], [40, 36], [40, 35], [40, 34], [40, 33], [40, 32], [40, 31], [40, 30], [40, 29]]","[40, 36]","[-20.0, 0.0]","[-17.52655029296875, -0.2990967631340027, 0.1622803658246994]","[40, 36]",True,False,210,2.491467906060645,0,0,0,[False],[None],0.9999999999999999,1.0,0.8242153976997477,True,commit_expired,"[46, 28]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
77,"[40, 36]","[-22.53226661682129, 0.33159714937210083]","[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.17814090847969055]","[25, 30]",10,0.07893159726328967,"[[40, 36], [40, 35], [40, 34], [40, 33], [40, 32], [40, 31], [40, 30], [40, 29]]","[40, 35]","[-25.0, 0.0]","[-22.53226661682129, 0.33159714937210083, 0.16556742787361145]","[40, 35]",True,False,210,2.4899125928285817,0,0,0,[False],[None],1.0000000000000002,1.0,0.7894061707722935,False,none,"[46, 28]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
78,"[40, 35]","[-27.52562713623047, -0.2835797071456909]","[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.17816445231437683]","[25, 30]",10,0.07892782800300782,"[[40, 35], [40, 34], [40, 33], [40, 32], [40, 31], [40, 30], [40, 29]]","[40, 34]","[-30.0, 0.0]","[-27.52562713623047, -0.2835797071456909, 0.16393421590328217]","[40, 34]",True,False,209,2.4905699185656016,0,0,0,[False],[None],1.0,1.0,0.7311176700553518,False,none,"[46, 28]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
79,"[40, 34]","[-32.52780532836914, 0.27965137362480164]","[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.17808093130588531]","[25, 30]",10,0.07892782800300782,"[[40, 34], [40, 33], [40, 32], [40, 31], [40, 30], [40, 29]]","[40, 33]","[-35.0, 0.0]","[-32.52780532836914, 0.27965137362480164, 0.16497433185577393]","[40, 33]",True,False,209,2.4879612909388786,0,0,0,[False],[None],0.9999999999999999,1.0,0.6814412401929963,False,none,"[46, 28]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
80,"[40, 33]","[-37.516334533691406, -0.27997496724128723]","[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.17812950909137726]","[25, 30]",10,0.07892782800300782,"[[40, 33], [40, 32], [40, 31], [40, 30], [40, 29]]","[40, 32]","[-40.0, 0.0]","[-37.516334533691406, -0.27997496724128723, 0.16423752903938293]","[40, 32]",True,False,208,2.499395953188619,0,0,0,[False],[None],1.0,1.0,0.7431496928465467,False,none,"[46, 28]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
81,"[40, 32]","[-40.34482955932617, -2.533993721008301]","[30, 30]","[-50.0, 50.0]","[-47.10430908203125, 67.34195709228516, 0.173076331615448]","[25, 30]",10,25.019591565707888,"[[40, 32], [41, 32], [42, 32], [43, 32], [44, 32], [45, 32], [46, 32], [47, 32], [48, 32]]","[41, 32]","[-40.0, -5.0]","[-40.34482955932617, -2.533993721008301, 0.16133876144886017]","[41, 32]",True,False,212,2.489998874098454,0,0,0,[False],[None],1.0,1.0,0.7019321341073665,True,commit_expired,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
82,"[41, 32]","[-39.655914306640625, -7.528598308563232]","[30, 30]","[-50.0, 50.0]","[-48.913265228271484, 56.959556579589844, 0.1781586855649948]","[27, 31]",10,17.085519799448754,"[[41, 32], [42, 32], [43, 32], [44, 32], [45, 32], [46, 32], [47, 32], [48, 32]]","[42, 32]","[-40.0, -10.0]","[-39.655914306640625, -7.528598308563232, 0.16690543293952942]","[42, 32]",True,False,210,2.495239724918453,0,0,0,[False],[None],1.0,1.0,0.7813908832812485,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
83,"[42, 32]","[-39.791587829589844, -12.512699127197266]","[30, 30]","[-50.0, 50.0]","[-49.64118576049805, 52.288063049316406, 0.17846383154392242]","[29, 30]",10,6.687348595487138,"[[42, 32], [43, 32], [44, 32], [45, 32], [46, 32], [47, 32], [48, 32]]","[43, 32]","[-40.0, -15.0]","[-39.791587829589844, -12.512699127197266, 0.1653849482536316]","[43, 32]",True,False,206,2.496017080194027,0,0,0,[False],[None],0.9999999999999996,1.0,0.775964547834337,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
84,"[43, 32]","[-39.76785659790039, -17.521228790283203]","[30, 30]","[-50.0, 50.0]","[-49.877132415771484, 50.78361892700195, 0.17816820740699768]","[30, 30]",10,2.2013931846272925,"[[43, 32], [44, 32], [45, 32], [46, 32], [47, 32], [48, 32]]","[44, 32]","[-40.0, -20.0]","[-39.76785659790039, -17.521228790283203, 0.16532772779464722]","[44, 32]",True,False,207,2.489617896236138,0,0,0,[False],[None],1.0000000000000002,1.0,0.7375222211857814,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
85,"[44, 32]","[-39.77191162109375, -22.51161766052246]","[30, 30]","[-50.0, 50.0]","[-49.9522705078125, 50.30440902709961, 0.17818810045719147]","[30, 30]",10,0.7565799115212337,"[[44, 32], [45, 32], [46, 32], [47, 32], [48, 32]]","[45, 32]","[-40.0, -25.0]","[-39.77191162109375, -22.51161766052246, 0.16546449065208435]","[45, 32]",True,False,206,2.498813913843084,0,0,0,[False],[None],1.0,1.0,0.7699582000016019,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
86,"[45, 32]","[-39.77140426635742, -27.52104949951172]","[30, 30]","[-50.0, 50.0]","[-49.9764404296875, 50.15024948120117, 0.1781468689441681]","[30, 30]",10,0.2963782822896506,"[[45, 32], [46, 32], [47, 32], [48, 32], [49, 32], [50, 32], [51, 32], [52, 32]]","[46, 32]","[-40.0, -30.0]","[-39.77140426635742, -27.52104949951172, 0.1656770259141922]","[46, 32]",True,False,207,2.48946813462448,0,0,0,[False],[None],0.9999999999999998,1.0,0.7555011131028966,True,commit_expired,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
87,"[46, 32]","[-39.7712516784668, -32.51155471801758]","[30, 30]","[-50.0, 50.0]","[-49.98413848876953, 50.101165771484375, 0.1781093329191208]","[30, 30]",10,0.14833559995041964,"[[46, 32], [47, 32], [48, 32], [49, 32], [50, 32], [51, 32], [52, 32]]","[47, 32]","[-40.0, -35.0]","[-39.7712516784668, -32.51155471801758, 0.16539105772972107]","[47, 32]",True,False,206,2.4989369171759486,0,0,0,[False],[None],1.0000000000000004,1.0,0.8170088371906604,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
88,"[47, 32]","[-39.77151870727539, -37.52103042602539]","[30, 30]","[-50.0, 50.0]","[-49.98661422729492, 50.08537673950195, 0.17814026772975922]","[30, 30]",10,0.10119689021202322,"[[47, 32], [48, 32], [49, 32], [50, 32], [51, 32], [52, 32]]","[48, 32]","[-40.0, -40.0]","[-39.77151870727539, -37.52103042602539, 0.16518914699554443]","[48, 32]",True,False,207,2.489476621665077,0,0,0,[False],[None],0.9999999999999997,1.0,0.7928532627253384,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
89,"[48, 32]","[-39.7712287902832, -42.51155090332031]","[30, 30]","[-50.0, 50.0]","[-49.98740005493164, 50.080352783203125, 0.17815858125686646]","[30, 30]",10,0.086037751401153,"[[48, 32], [49, 32], [50, 32], [51, 32], [52, 32]]","[49, 32]","[-40.0, -45.0]","[-39.7712287902832, -42.51155090332031, 0.16529907286167145]","[49, 32]",True,False,206,2.498942811102575,0,0,0,[False],[None],0.9999999999999997,1.0,0.8107883482508046,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
90,"[49, 32]","[-39.77151870727539, -47.52103042602539]","[30, 30]","[-50.0, 50.0]","[-49.98765563964844, 50.0787353515625, 0.17808564007282257]","[30, 30]",10,0.08121111759298391,"[[49, 32], [50, 32], [51, 32], [52, 32]]","[50, 32]","[-40.0, -50.0]","[-39.77151870727539, -47.52103042602539, 0.16541878879070282]","[50, 32]",True,False,207,2.489476621665077,0,0,0,[False],[None],1.0000000000000002,1.0,0.827171470865502,False,none,"[52, 32]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
91,"[50, 32]","[-42.525840759277344, -50.298362731933594]","[30, 30]","[-50.0, 50.0]","[-49.987735748291016, 50.078216552734375, 0.17818933725357056]","[30, 30]",10,0.07965830114283066,"[[50, 32], [50, 31], [50, 30], [50, 29], [50, 28], [50, 27], [51, 27], [52, 27]]","[50, 31]","[-45.0, -50.0]","[-42.525840759277344, -50.298362731933594, 0.16216394305229187]","[50, 31]",True,False,210,2.4920843220605895,0,0,0,[False],[None],1.0,1.0,0.8152094917279193,True,commit_expired,"[52, 27]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
92,"[50, 31]","[-47.53211212158203, -49.66850280761719]","[30, 30]","[-50.0, 50.0]","[-49.987762451171875, 50.07805252075195, 0.17810866236686707]","[30, 30]",10,0.07915655810126848,"[[50, 31], [50, 30], [50, 29], [50, 28], [50, 27], [51, 27], [52, 27]]","[50, 30]","[-50.0, -50.0]","[-47.53211212158203, -49.66850280761719, 0.16544121503829956]","[50, 30]",True,False,210,2.490052402862243,0,0,0,[False],[None],1.0000000000000002,1.0,0.7952660970360571,False,none,"[52, 27]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
93,"[50, 30]","[-52.51417541503906, -49.7900276184082]","[30, 30]","[-50.0, 50.0]","[-49.987770080566406, 50.077999114990234, 0.17810821533203125]","[30, 30]",10,0.07900226653794026,"[[50, 30], [50, 29], [50, 28], [50, 27], [51, 27], [52, 27]]","[50, 29]","[-55.0, -50.0]","[-52.51417541503906, -49.7900276184082, 0.16486671566963196]","[50, 29]",True,False,206,2.494676786324743,0,0,0,[False],[None],0.9999999999999997,1.0,0.8184643354058105,False,none,"[52, 27]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
94,"[50, 29]","[-57.521751403808594, -49.76830291748047]","[30, 30]","[-50.0, 50.0]","[-49.987770080566406, 50.07798385620117, 0.17812642455101013]","[30, 30]",10,0.07895209223707754,"[[50, 29], [50, 28], [50, 27], [51, 27], [52, 27]]","[50, 28]","[-60.0, -50.0]","[-57.521751403808594, -49.76830291748047, 0.16575248539447784]","[50, 28]",True,False,207,2.489055974174293,0,0,0,[False],[None],1.0000000000000004,1.0,0.7988412770192431,False,none,"[52, 27]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
95,"[50, 28]","[-62.51179504394531, -49.771881103515625]","[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.077980041503906, 0.1781259924173355]","[30, 30]",10,0.07893701766191352,"[[50, 28], [50, 27], [51, 27], [52, 27]]","[50, 27]","[-65.0, -50.0]","[-62.51179504394531, -49.771881103515625, 0.16560854017734528]","[50, 27]",True,False,206,2.4986400569646596,0,0,0,[False],[None],0.9999999999999998,1.0,0.8343098987967611,False,none,"[52, 27]","[49, 30]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
96,"[50, 27]","[-65.04513549804688, -47.497406005859375]","[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.17813803255558014]","[30, 30]",10,0.07893265806986742,"[[50, 27], [49, 27], [48, 27], [47, 27], [46, 27], [45, 27], [44, 27], [43, 27], [43, 28]]","[49, 27]","[-65.0, -45.0]","[-65.04513549804688, -47.497406005859375, 0.1618998795747757]","[49, 27]",True,False,187,2.4978138383967723,0,0,0,[False],[None],1.0,1.0,0.8206030054898359,True,commit_expired,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
97,"[49, 27]","[-64.74272155761719, -42.479270935058594]","[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.17818672955036163]","[30, 30]",10,0.07892888941334678,"[[49, 27], [48, 27], [47, 27], [46, 27], [45, 27], [44, 27], [43, 27], [43, 28]]","[48, 27]","[-65.0, -40.0]","[-64.74272155761719, -42.479270935058594, 0.16553618013858795]","[48, 27]",True,False,208,2.4925843147908235,0,0,0,[False],[None],0.9999999999999998,1.0,0.822680582086634,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
98,"[48, 27]","[-64.80194854736328, -37.489418029785156]","[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.17818628251552582]","[30, 30]",10,0.07892888941334678,"[[48, 27], [47, 27], [46, 27], [45, 27], [44, 27], [43, 27], [43, 28]]","[47, 27]","[-65.0, -35.0]","[-64.80194854736328, -37.489418029785156, 0.16540423035621643]","[47, 27]",True,False,206,2.4972838254613596,0,0,0,[False],[None],1.0,1.0,0.8032661827440502,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
99,"[47, 27]","[-64.78633117675781, -32.47970199584961]","[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.1781768798828125]","[30, 30]",10,0.07892888941334678,"[[47, 27], [46, 27], [45, 27], [44, 27], [43, 27], [43, 28]]","[46, 27]","[-65.0, -30.0]","[-64.78633117675781, -32.47970199584961, 0.16579049825668335]","[46, 27]",True,False,207,2.488890587037975,0,0,0,[False],[None],0.9999999999999996,1.0,0.7897405060872893,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
100,"[46, 27]","[-64.7760009765625, -27.488862991333008]","[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.17811931669712067]","[30, 30]",10,0.07892888941334678,"[[46, 27], [45, 27], [44, 27], [43, 27], [43, 28]]","[45, 27]","[-65.0, -25.0]","[-64.7760009765625, -27.488862991333008, 0.16568750143051147]","[45, 27]",True,False,206,2.4989226783011995,0,0,0,[False],[None],1.0000000000000002,1.0,0.7618887928419558,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
101,"[45, 27]","[-64.77154541015625, -22.479148864746094]","[35, 35]","[-25.0, 25.0]","[-44.6652946472168, 41.97265625, 0.17530256509780884]","[30, 30]",10,35.279852220939105,"[[45, 27], [44, 27], [43, 27], [43, 28], [43, 29], [43, 30], [43, 31], [43, 32], [43, 33]]","[44, 27]","[-65.0, -20.0]","[-64.77154541015625, -22.479148864746094, 0.1656169444322586]","[44, 27]",True,False,207,2.4896527053371362,0,0,0,[False],[None],0.9999999999999997,1.0,0.7903333779007785,True,commit_expired,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
102,"[44, 27]","[-64.77128601074219, -17.48851203918457]","[35, 35]","[-25.0, 25.0]","[-36.476043701171875, 34.9661865234375, 0.1781136691570282]","[32, 31]",10,25.47842332422949,"[[44, 27], [43, 27], [43, 28], [43, 29], [43, 30], [43, 31], [43, 32], [43, 33]]","[43, 27]","[-65.0, -15.0]","[-64.77128601074219, -17.48851203918457, 0.1658165007829666]","[43, 27]",True,False,206,2.499000251710426,0,0,0,[False],[None],1.0000000000000002,1.0,0.7551974314370441,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
103,"[43, 27]","[-62.49740219116211, -14.954968452453613]","[35, 35]","[-25.0, 25.0]","[-29.669452667236328, 29.054521560668945, 0.17823776602745056]","[33, 33]",10,14.700336648261418,"[[43, 27], [43, 28], [43, 29], [43, 30], [43, 31], [43, 32], [43, 33]]","[43, 28]","[-60.0, -15.0]","[-62.49740219116211, -14.954968452453613, 0.16212379932403564]","[43, 28]",True,False,187,2.497808148096192,0,0,0,[False],[None],1.0000000000000002,1.0,0.6922044426723559,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
104,"[43, 28]","[-57.48740768432617, -15.018328666687012]","[35, 35]","[-25.0, 25.0]","[-26.532039642333984, 26.330312728881836, 0.17819179594516754]","[34, 34]",10,5.87143027823793,"[[43, 28], [43, 29], [43, 30], [43, 31], [43, 32], [43, 33]]","[43, 29]","[-55.0, -15.0]","[-57.48740768432617, -15.018328666687012, 0.16543857753276825]","[43, 29]",True,False,207,2.4874752115483307,0,0,0,[False],[None],0.9999999999999998,1.0,0.7254663128212837,False,none,"[43, 47]","[42, 43]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
