step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
71,"[25, 30]","[-50.0, 75.0]","[-50.07799530029297, 74.98788452148438, 0.16245976090431213]","[25, 30]",0.07893067646645975,10,target,holoocean_agent_proxy
72,"[25, 30]","[-50.0, 75.0]","[-50.077980041503906, 74.98779296875, 0.16229219734668732]","[25, 30]",0.07892970597239937,10,target,holoocean_agent_proxy
73,"[25, 30]","[-50.0, 75.0]","[-50.07795333862305, 74.98762512207031, 0.16250507533550262]","[25, 30]",0.07892946602032778,10,target,holoocean_agent_proxy
74,"[25, 30]","[-50.0, 75.0]","[-50.07792663574219, 74.98746490478516, 0.16249851882457733]","[25, 30]",0.07892838000453813,10,target,holoocean_agent_proxy
75,"[25, 30]","[-50.0, 75.0]","[-50.07789993286133, 74.9873046875, 0.16249880194664001]","[25, 30]",0.07892762823797561,10,target,holoocean_agent_proxy
76,"[25, 30]","[-50.0, 75.0]","[-50.07787322998047, 74.98713684082031, 0.16245374083518982]","[25, 30]",0.07892845375194522,10,target,holoocean_agent_proxy
77,"[25, 30]","[-50.0, 75.0]","[-50.07784652709961, 74.9869613647461, 0.1624540239572525]","[25, 30]",0.0789309051687273,10,target,holoocean_agent_proxy
78,"[25, 30]","[-50.0, 75.0]","[-50.077816009521484, 74.98678588867188, 0.16237428784370422]","[25, 30]",0.07892999478043711,10,target,holoocean_agent_proxy
79,"[25, 30]","[-50.0, 75.0]","[-50.07778549194336, 74.98660278320312, 0.1623745858669281]","[25, 30]",0.07893078090816597,10,target,holoocean_agent_proxy
80,"[25, 30]","[-50.0, 75.0]","[-50.07775115966797, 74.9864273071289, 0.1622636616230011]","[25, 30]",0.07892693343521595,10,target,holoocean_agent_proxy
81,"[25, 30]","[-50.0, 75.0]","[-50.077720642089844, 74.98623657226562, 0.16226394474506378]","[25, 30]",0.07892990656181569,10,target,holoocean_agent_proxy
82,"[25, 30]","[-50.0, 75.0]","[-50.07768630981445, 74.98604583740234, 0.1621837317943573]","[25, 30]",0.07892959765758992,10,target,holoocean_agent_proxy
83,"[25, 30]","[-50.0, 75.0]","[-50.07765197753906, 74.98587036132812, 0.16226451098918915]","[25, 30]",0.07892703152104995,10,target,holoocean_agent_proxy
84,"[25, 30]","[-50.0, 75.0]","[-50.07761764526367, 74.98566436767578, 0.16227398812770844]","[25, 30]",0.07893040738785269,10,target,holoocean_agent_proxy
85,"[25, 30]","[-50.0, 75.0]","[-50.077579498291016, 74.98545837402344, 0.1622742861509323]","[25, 30]",0.0789305862206023,10,target,holoocean_agent_proxy
86,"[25, 30]","[-50.0, 75.0]","[-50.077537536621094, 74.9852523803711, 0.16236954927444458]","[25, 30]",0.07892757357214496,10,target,holoocean_agent_proxy
87,"[25, 30]","[-50.0, 75.0]","[-50.07749557495117, 74.98503112792969, 0.16231799125671387]","[25, 30]",0.07892801320234838,10,target,holoocean_agent_proxy
88,"[25, 30]","[-50.0, 75.0]","[-50.07745361328125, 74.98480224609375, 0.1623210459947586]","[25, 30]",0.07893056400480339,10,target,holoocean_agent_proxy
89,"[25, 30]","[-50.0, 75.0]","[-50.07740783691406, 74.98457336425781, 0.16232027113437653]","[25, 30]",0.07893005958464895,10,target,holoocean_agent_proxy
90,"[25, 30]","[-50.0, 75.0]","[-50.077362060546875, 74.98434448242188, 0.16229110956192017]","[25, 30]",0.07893024542402827,10,target,holoocean_agent_proxy
91,"[25, 30]","[-50.0, 75.0]","[-50.07731246948242, 74.9841079711914, 0.16229510307312012]","[25, 30]",0.07892892066361726,10,target,holoocean_agent_proxy
92,"[25, 30]","[-50.0, 75.0]","[-50.07726287841797, 74.9838638305664, 0.16227510571479797]","[25, 30]",0.0789298951311825,10,target,holoocean_agent_proxy
93,"[25, 30]","[-50.0, 75.0]","[-50.07720947265625, 74.98360443115234, 0.16224753856658936]","[25, 30]",0.07893109238883275,10,target,holoocean_agent_proxy
94,"[25, 30]","[-50.0, 75.0]","[-50.077152252197266, 74.98334503173828, 0.16231776773929596]","[25, 30]",0.07892944942738,10,target,holoocean_agent_proxy
95,"[25, 30]","[-50.0, 75.0]","[-50.07709503173828, 74.98307800292969, 0.1623283177614212]","[25, 30]",0.07893033576245738,10,target,holoocean_agent_proxy
96,"[25, 30]","[-50.0, 75.0]","[-50.07703399658203, 74.9828109741211, 0.16227377951145172]","[25, 30]",0.07892844379604928,10,target,holoocean_agent_proxy
97,"[25, 30]","[-50.0, 75.0]","[-50.07697677612305, 74.98255920410156, 0.16228745877742767]","[25, 30]",0.07892784948209747,10,target,holoocean_agent_proxy
98,"[25, 30]","[-50.0, 75.0]","[-50.07691192626953, 74.98226928710938, 0.16232919692993164]","[25, 30]",0.07892922514569357,10,target,holoocean_agent_proxy
99,"[25, 30]","[-50.0, 75.0]","[-50.076847076416016, 74.98199462890625, 0.16231711208820343]","[25, 30]",0.07892823665781842,10,target,holoocean_agent_proxy
100,"[25, 30]","[-50.0, 75.0]","[-50.07677459716797, 74.981689453125, 0.16227030754089355]","[25, 30]",0.0789279094944586,10,target,holoocean_agent_proxy
