system_group,target_motion_mode,map_kind,method,lambda,n,success_all_found_mean,success_all_found_std,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,path_length_mean,path_length_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
two_coordinated,static,harbor_cove,anomaly,0.75,10.0,0.6,0.48989794855663565,68.5,62.39110513526748,148.33333333333334,70.10864584501844,0.8666666666666668,0.16329931618554522,2.6,0.48989794855663565,0.7204495614035088,0.20512684196616945,,,0.0,0.0,0.013507248644138489,0.021547550968720096,0.27445691388268517,0.06515502797267148,0.033665119636380345,0.007134173347080841
two_coordinated,static,harbor_cove,anomaly,1.0,10.0,0.3,0.45825756949558405,76.4,69.35012617147859,158.33333333333334,84.25886039791635,0.7333333333333333,0.2,2.2,0.6,0.7663651315789475,0.17074656365708255,,,0.0,0.0,0.023596194625610308,0.01972588587593164,0.290625918884668,0.06876021390156785,0.03383072170770227,0.007178631552112468
two_coordinated,static,harbor_cove,anomaly,1.25,10.0,0.5,0.5,65.6,62.06319360136086,110.8,62.091545318183215,0.7666666666666667,0.2603416558635552,2.3,0.7810249675906654,0.6718475877192984,0.21665198374375674,,,0.0,0.0,0.009502385492175741,0.010622203134108157,0.27244444592750117,0.06291997905856093,0.03408297130063652,0.007238966575320007
two_coordinated,static,harbor_cove,ucb,,10.0,0.5,0.5,52.0,49.66890375275057,117.6,59.56374736364394,0.6666666666666667,0.39440531887330776,2.0,1.1832159566199232,0.6989309210526315,0.21726507642772114,,,0.00041666666666665997,0.00124999999999998,0.013556338028169001,0.017005580117100787,0.22114547796469988,0.09678332620542264,0.03226613030528813,0.0070939197518289495
two_coordinated,static,open_water,anomaly,0.5,10.0,0.5,0.5,82.2,70.14385218962529,126.2,67.5792867674704,0.7666666666666667,0.2603416558635552,2.3,0.7810249675906654,0.6370026525198939,0.2025283040828954,,,0.0,0.0,0.01191160845923714,0.02008956496376089,0.288134167002588,0.11693880629290228,0.026992766634310238,0.004749356912523301
two_coordinated,static,open_water,anomaly,0.75,10.0,0.4,0.4898979485566356,58.7,44.61401125207192,124.0,65.58582163852185,0.8,0.16329931618554522,2.4,0.48989794855663565,0.6434792219274977,0.17800432270062203,,,0.0,0.0,0.03360459647206438,0.021176160630361478,0.2734945810372841,0.1385726542388905,0.026948876421828305,0.004825693911674523
two_coordinated,static,open_water,anomaly,1.0,10.0,0.6,0.48989794855663565,72.4,65.16471437825842,143.5,68.70407557052202,0.8,0.2666666666666667,2.4,0.8,0.6186118479221927,0.17937932585113414,,,0.0,0.0,0.03942058024719311,0.027540343037900695,0.27764832582901167,0.1387837395051425,0.0271019764428665,0.005359634918640428
two_coordinated,static,open_water,anomaly,1.25,10.0,0.9,0.30000000000000004,62.9,42.858954723604725,154.66666666666666,63.15941031319966,0.9666666666666666,0.1,2.9,0.3,0.5950486295313882,0.16750239589507804,,,0.0,0.0,0.02327873879108272,0.023691235798319995,0.2953065833324172,0.14415586822864043,0.027744055028269328,0.005733129129948685
two_coordinated,static,open_water,ucb,,10.0,0.7,0.45825756949558405,65.2,46.9143901164664,161.42857142857142,62.61185908403601,0.9,0.1527525231651947,2.7,0.45825756949558405,0.63921308576481,0.16636531210741262,,,0.0,0.0,0.015446343879440268,0.015432506977669395,0.27302543268528884,0.13193773047791887,0.02758277719529348,0.005660855463430569
two_coordinated,static,peninsula_passage,anomaly,0.5,10.0,0.5,0.5,62.0,49.991110320847156,180.0,28.768037819774918,0.7333333333333333,0.3265986323710904,2.2,0.9797958971132712,0.6924136204306459,0.06302408502947103,,,0.0,0.0,0.015554931177638478,0.013128667351946685,0.2706166304596107,0.1199006310796064,0.02737676879228438,0.00409814982188657
two_coordinated,static,peninsula_passage,anomaly,0.75,10.0,0.4,0.48989794855663565,78.8,62.41442141044007,192.75,34.37568181142012,0.8,0.16329931618554522,2.4,0.48989794855663565,0.694867300951427,0.07577773088711537,,,0.0,0.0,0.01876749054047101,0.017684145214801435,0.28019612578474373,0.13220282426399996,0.027594230863409303,0.004429929879305143
two_coordinated,static,peninsula_passage,anomaly,1.0,10.0,0.6,0.48989794855663565,60.55555555555556,47.35471608828913,178.16666666666666,27.859269353105603,0.7666666666666666,0.334995854037363,2.3,1.004987562112089,0.6821732598898348,0.0967090449476442,,,0.00041666666666665997,0.00124999999999998,0.04257929269330585,0.03731195811660104,0.2889494440420681,0.12646656459971872,0.02890698626934763,0.006103107610477322
two_coordinated,static,peninsula_passage,anomaly,1.25,10.0,0.4,0.48989794855663565,61.22222222222222,47.78372056063952,200.25,32.47595264191645,0.7,0.31446603773522014,2.1,0.9433981132056604,0.7194541812719079,0.08778463254644912,,,0.0,0.0,0.02288258671518207,0.01403508921193267,0.293912324580066,0.12583200293113528,0.029420261496321487,0.0064422626254847905
two_coordinated,static,peninsula_passage,ucb,,10.0,0.5,0.5,65.2,46.08861030666904,191.8,28.964806231010765,0.8333333333333333,0.16666666666666669,2.5,0.5,0.6889584376564848,0.08271288894600336,,,0.0,0.0,0.015213175176572929,0.010354572056858191,0.25345231749496716,0.1110276308980305,0.02848496936316679,0.0050383083978256015
