run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,20,2,8,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[8.46808510638298, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,21,2,9,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[8.808510638297872, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,21,2,9,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[8.808510638297872, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,22,2,10,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[9.148936170212766, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[8],28.065814971923828,,,False,False,False,False,False
target,22,2,10,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[9.148936170212766, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,23,2,11,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[9.48936170212766, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[8],27.866477966308594,,,False,False,False,False,False
target,23,2,11,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[9.48936170212766, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,24,2,12,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,False,True,"[37.18506309574579, -10.823473199141283, 0.0]","[31.0, 0.0, 0.5]",12.466057018595981,"[9.829787234042552, -6.0, 0.0]",27.77727508544922,-10.0,-7.512276785714282,8,-10.0,2.487723214285718,True,28,21604.1563128361,1,1,18,"[180, 127, 185, 132]",[8],27.77727508544922,sv0,27.77727508544922,False,False,False,False,False
target,24,2,12,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[9.829787234042552, 6.0, 0.0]",,,,,,,False,0,,1,1,119,"[25, 127, 292, 181]",[],,,,False,False,False,False,False
target,25,3,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[10.170212765957446, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[8],27.747058868408203,,,False,False,False,False,False
